File,Result,D_B,D_C,D_L,D_R,D_S,D_E(%),nNodes,nEdges,nSegRelEdges,dPairs,segPairErrors,nodeCorrect,edgeDiffClassCount,undirDiffClassCount,nSeg,detectedSeg,dSegRelEdges,CorrectSegments,CorrectSegmentsAndClass,ClassError,CorrectSegRels,CorrectSegRelLocations,SegRelErrors,hasCorrectSegments,hasCorrectSegLab,hasCorrectRelationLocations,hasCorrectRelLab,hasCorrectStructure
AC-Oracle/101_alfonso.lg, Incorrect,7,1,6,0,6,0.07397903414848225,27,702,0,3,3,26,0,0,20,20,0,17,17,3,0,0,0,0,0,1,1,0
AC-Oracle/101_carlos.lg, Correct,0,0,0,0,0,0.0,26,650,0,0,0,26,0,0,20,20,0,20,20,0,0,0,0,1,1,1,1,1
AC-Oracle/101_caue.lg, Incorrect,5,1,4,0,4,0.0626691027521055,27,702,0,2,2,26,0,0,20,20,0,17,17,3,0,0,0,0,0,1,1,0
AC-Oracle/101_danilo.lg, Incorrect,14,2,12,2,10,0.10805688105758963,27,702,0,6,5,25,2,1,20,20,0,17,17,3,0,0,0,0,0,1,1,0
AC-Oracle/101_david.lg, Incorrect,16,2,14,2,12,0.11534597392963912,27,702,0,7,6,25,2,1,20,20,0,17,17,3,0,0,0,0,0,1,1,0
AC-Oracle/101_edwin.lg, Correct,0,0,0,0,0,0.0,27,702,0,0,0,27,0,0,20,20,0,20,20,0,0,0,0,1,1,1,1,1
AC-Oracle/101_Fabricio.lg, Incorrect,7,1,6,0,6,0.07397903414848225,27,702,0,3,3,26,0,0,20,20,0,17,17,3,0,0,0,0,0,1,1,0
AC-Oracle/101_Frank.lg, Correct,0,0,0,0,0,0.0,27,702,0,0,0,27,0,0,20,20,0,20,20,0,0,0,0,1,1,1,1,1
AC-Oracle/101_fujita.lg, Incorrect,198,14,184,30,154,0.2529741980634738,53,2756,0,92,77,39,30,15,20,20,0,8,8,12,0,0,0,0,0,1,1,0
AC-Oracle/101_herbert.lg, Incorrect,16,2,14,2,12,0.11534597392963912,27,702,0,7,6,25,2,1,20,20,0,17,17,3,0,0,0,0,0,1,1,0
AC-Oracle/101_hirata.lg, Incorrect,9,1,8,0,8,0.09031336922528344,25,600,0,4,4,24,0,0,20,20,0,17,17,3,0,0,0,0,0,1,1,0
AC-Oracle/101_jorge.lg, Correct,0,0,0,0,0,0.0,29,812,0,0,0,29,0,0,20,20,0,20,20,0,0,0,0,1,1,1,1,1
AC-Oracle/101_leissi.lg, Incorrect,9,1,8,0,8,0.08351374737016219,27,702,0,4,4,26,0,0,20,20,0,17,17,3,0,0,0,0,0,1,1,0
