File,Result,D_B,D_C,D_L,D_R,D_S,D_E(%),nNodes,nEdges,nSegRelEdges,dPairs,segPairErrors,nodeCorrect,edgeDiffClassCount,undirDiffClassCount,nSeg,detectedSeg,dSegRelEdges,CorrectSegments,CorrectSegmentsAndClass,ClassError,CorrectSegRels,CorrectSegRelLocations,SegRelErrors,hasCorrectSegments,hasCorrectSegLab,hasCorrectRelationLocations,hasCorrectRelLab,hasCorrectStructure
K-Oracle/101_alfonso.lg, Incorrect,12,2,10,0,10,0.10425967736240611,27,702,0,5,5,25,0,0,20,20,0,14,14,6,0,0,0,0,0,1,1,0
K-Oracle/101_carlos.lg, Incorrect,12,2,10,0,10,0.10833084870049796,26,650,0,5,5,24,0,0,20,20,0,14,14,6,0,0,0,0,0,1,1,0
K-Oracle/101_caue.lg, Incorrect,12,2,10,0,10,0.10425967736240611,27,702,0,5,5,25,0,0,20,20,0,14,14,6,0,0,0,0,0,1,1,0
K-Oracle/101_danilo.lg, Incorrect,12,2,10,0,10,0.10425967736240611,27,702,0,5,5,25,0,0,20,20,0,14,14,6,0,0,0,0,0,1,1,0
K-Oracle/101_david.lg, Incorrect,12,2,10,0,10,0.10425967736240611,27,702,0,5,5,25,0,0,20,20,0,14,14,6,0,0,0,0,0,1,1,0
K-Oracle/101_edwin.lg, Incorrect,12,2,10,0,10,0.10425967736240611,27,702,0,5,5,25,0,0,20,20,0,14,14,6,0,0,0,0,0,1,1,0
K-Oracle/101_Fabricio.lg, Incorrect,22,4,18,2,16,0.1530821910575049,27,702,0,9,8,23,2,1,20,20,0,11,11,9,0,0,0,0,0,1,1,0
K-Oracle/101_Frank.lg, Incorrect,19,3,16,0,16,0.13768388451655666,27,702,0,8,8,24,0,0,20,20,0,11,11,9,0,0,0,0,0,1,1,0
K-Oracle/101_fujita.lg, Incorrect,51,7,44,4,40,0.12630066578240737,53,2756,0,22,20,46,4,2,20,20,0,11,11,9,0,0,0,0,0,1,1,0
K-Oracle/101_herbert.lg, Incorrect,19,3,16,0,16,0.13768388451655666,27,702,0,8,8,24,0,0,20,20,0,12,12,8,0,0,0,0,0,1,1,0
K-Oracle/101_hirata.lg, Incorrect,22,4,18,0,18,0.1688033871712585,25,600,0,9,9,21,0,0,20,20,0,9,9,11,0,0,0,0,0,1,1,0
K-Oracle/101_jorge.lg, Incorrect,31,5,26,2,24,0.17442492497066117,29,812,0,13,12,24,2,1,20,20,0,9,9,11,0,0,0,0,0,1,1,0
K-Oracle/101_leissi.lg, Incorrect,12,2,10,0,10,0.10425967736240611,27,702,0,5,5,25,0,0,20,20,0,14,14,6,0,0,0,0,0,1,1,0
K-Oracle/101_leo.lg, Incorrect,22,4,18,0,18,0.15613481858610748,27,702,0,9,9,23,0,0,20,20,0,10,10,10,0,0,0,0,0,1,1,0
K-Oracle/101_miguel.lg, Incorrect,24,4,20,0,20,0.1682231205229885,26,650,0,10,10,22,0,0,20,20,0,10,10,10,0,0,0,0,0,1,1,0
K-Oracle/101_mijail.lg, Incorrect,22,4,18,0,18,0.1452353448913459,29,812,0,9,9,25,0,0,20,20,0,9,9,11,0,0,0,0,0,1,1,0
K-Oracle/101_Nina.lg, Incorrect,64,8,56,6,50,0.15445720565483065,49,2352,0,28,25,41,6,3,20,20,0,9,9,11,0,0,0,0,0,1,1,0
K-Oracle/101_rosario.lg, Incorrect,22,4,18,0,18,0.15048794759377557,28,756,0,9,9,24,0,0,20,20,0,11,11,9,0,0,0,0,0,1,1,0
